"tahun","nama_provinsi","nama_kabupaten","nama_kecamatan","nama_kelurahan","jenis_kelamin","agama","jumlah","periode_data"
"2013","DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET TIMUR","Laki-laki","Islam","52","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET BARAT","Laki-laki","Islam","62","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","TEBET","MENTENG DALAM","Laki-laki","Islam","115","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","TEBET","KEBON BARU","Laki-laki","Islam","110","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","TEBET","BUKIT DURI","Laki-laki","Islam","128","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI SELATAN","Laki-laki","Islam","84","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI","Laki-laki","Islam","103","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","SETIA BUDI","Laki-laki","Islam","10","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET SEMANGGI","Laki-laki","Islam","7","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET KUNINGAN","Laki-laki","Islam","43","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET","Laki-laki","Islam","22","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","MENTENG ATAS","Laki-laki","Islam","105","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","PASAR MANGGIS","Laki-laki","Islam","114","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","GUNTUR","Laki-laki","Islam","10","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KUNINGAN TIMUR","Laki-laki","Islam","16","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","MAMPANG PRAPATAN","Laki-laki","Islam","45","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","BANGKA","Laki-laki","Islam","49","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","PELA MAMPANG","Laki-laki","Islam","119","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","TEGAL PARANG","Laki-laki","Islam","88","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","KUNINGAN BARAT","Laki-laki","Islam","26","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PASAR MINGGU","Laki-laki","Islam","75","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","JATI PADANG","Laki-laki","Islam","110","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","CILANDAK TIMUR","Laki-laki","Islam","48","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","RAGUNAN","Laki-laki","Islam","108","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PEJATEN TIMUR","Laki-laki","Islam","133","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PEJATEN BARAT","Laki-laki","Islam","94","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","KEBAGUSAN","Laki-laki","Islam","126","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","KEBAYORAN LAMA UTARA","Laki-laki","Islam","99","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","PONDOK PINANG","Laki-laki","Islam","109","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","CIPULIR","Laki-laki","Islam","90","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL UTARA","Laki-laki","Islam","97","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL SELATAN","Laki-laki","Islam","114","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","KEBAYORAN LAMA SELATAN","Laki-laki","Islam","105","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","CILANDAK","CILANDAK BARAT","Laki-laki","Islam","103","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","CILANDAK","LEBAK BULUS","Laki-laki","Islam","75","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","CILANDAK","PONDOK LABU","Laki-laki","Islam","77","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","CILANDAK","GANDARIA SELATAN","Laki-laki","Islam","48","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","CILANDAK","CIPETE SELATAN","Laki-laki","Islam","67","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","MELAWAI","Laki-laki","Islam","8","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GUNUNG","Laki-laki","Islam","24","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","KRAMAT PELA","Laki-laki","Islam","31","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","SELONG","Laki-laki","Islam","9","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","RAWA BARAT","Laki-laki","Islam","18","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","SENAYAN","Laki-laki","Islam","9","2013"
